"Treatment","Timepoint","Replicate","BIM_mix","Escape_phage","Tracked_BIM","total_CFU","Strain","Titre"
"3-clone","1","2","04-Jun","4","4",3.5e+08,"PFU",1e+07
"3-clone","1","3","07-Sep","7","7",2.8e+08,"PFU",2200000
"3-clone","1","4","Oct-13","10","10",2.5e+08,"PFU",3400000
"3-clone","1","5","14-16","14","14",3.2e+08,"PFU",4800000
"3-clone","1","6","17-19","17","17",2.8e+08,"PFU",1.8e+07
"3-clone","1","7","19-21","19","19",3.1e+08,"PFU",420000
"3-clone","1","8","22-24","22","22",2.9e+08,"PFU",3.8e+08
"3-clone","2","1","01-Mar","1","1",7.1e+08,"PFU",66000
"3-clone","2","2","04-Jun","4","4",6.2e+08,"PFU",3200
"3-clone","2","3","07-Sep","7","7",7.3e+08,"PFU",58000
"3-clone","2","4","Oct-13","10","10",5.6e+08,"PFU",5200
"3-clone","2","5","14-16","14","14",5.9e+08,"PFU",120000
"3-clone","2","6","17-19","17","17",5.7e+08,"PFU",5e+05
"3-clone","2","7","19-21","19","19",6.6e+08,"PFU",5.2e+07
"3-clone","2","8","22-24","22","22",6.3e+08,"PFU",1e+05
"3-clone","3","1","01-Mar","1","1",5.9e+08,"PFU",1200000
"3-clone","3","2","04-Jun","4","4",3.7e+08,"PFU",0
"3-clone","3","3","07-Sep","7","7",6.1e+08,"PFU",2000
"3-clone","3","4","Oct-13","10","10",3.6e+08,"PFU",160000
"3-clone","3","5","14-16","14","14",5.4e+08,"PFU",20000
"3-clone","3","6","17-19","17","17",2.2e+08,"PFU",5e+08
"3-clone","3","7","19-21","19","19",4.4e+08,"PFU",2400000
"3-clone","3","8","22-24","22","22",4.7e+08,"PFU",140000
"6-clone","0","1","01-Jun","1","1",3100000,"PFU",1e+06
"6-clone","0","2","01-Jun","4","4",3400000,"PFU",3200000
"6-clone","0","3","07-Dec","7","7",1150000,"PFU",1e+06
"6-clone","0","4","07-Dec","10","10",3e+06,"PFU",4e+05
"6-clone","0","5","13-18","14","14",2200000,"PFU",1800000
"6-clone","0","6","13-18","17","17",2100000,"PFU",3200000
"6-clone","0","7","19-24","19","19",2200000,"PFU",1400000
"6-clone","0","8","19-24","22","22",2400000,"PFU",1e+06
"6-clone","1","1","01-Jun","1","1",2.5e+08,"PFU",3e+05
"6-clone","1","2","01-Jun","4","4",1.6e+08,"PFU",3400000
"6-clone","1","3","07-Dec","7","7",4.3e+08,"PFU",5e+05
"6-clone","1","4","07-Dec","10","10",1.05e+09,"PFU",1200000
"6-clone","1","5","13-18","14","14",4.9e+08,"PFU",140000
"6-clone","1","6","13-18","17","17",6.7e+08,"PFU",240000
"6-clone","1","7","19-24","19","19",4e+08,"PFU",12000
"6-clone","1","8","19-24","22","22",4.4e+08,"PFU",4400000
"6-clone","2","1","01-Jun","1","1",2.4e+08,"PFU",6e+05
"6-clone","2","2","01-Jun","4","4",4e+08,"PFU",14000
"6-clone","2","3","07-Dec","7","7",3.1e+08,"PFU",34000
"6-clone","2","4","07-Dec","10","10",3.2e+08,"PFU",8000
"6-clone","2","5","13-18","14","14",1.25e+09,"PFU",54000
"6-clone","2","6","13-18","17","17",6.1e+08,"PFU",18000
"6-clone","2","7","19-24","19","19",5.6e+08,"PFU",220000
"6-clone","2","8","19-24","22","22",1.7e+09,"PFU",12000
"6-clone","3","1","01-Jun","1","1",1.04e+09,"PFU",3.4e+07
"6-clone","3","2","01-Jun","4","4",5.2e+08,"PFU",3200000
"6-clone","3","3","07-Dec","7","7",2.9e+08,"PFU",6e+05
"6-clone","3","4","07-Dec","10","10",1.86e+09,"PFU",200
"6-clone","3","5","13-18","14","14",3.9e+08,"PFU",160000
"6-clone","3","6","13-18","17","17",3e+08,"PFU",14000
"6-clone","3","7","19-24","19","19",3.4e+08,"PFU",1600000
"6-clone","3","8","19-24","22","22",4.1e+08,"PFU",30000
